JF,state,year,services_state_tax,local_tax,services_tax
126,Alabama,2005,0.0,2.15,0.0
127,Alabama,2005,0.0,2.15,0.0
128,Alabama,2005,4.0,2.15,6.15
129,Alabama,2005,4.0,2.15,6.15
130,Alabama,2005,4.0,2.15,6.15
131,Alabama,2005,0.0,2.15,0.0
132,Alabama,2005,0.0,2.15,0.0
133,Alabama,2005,4.0,2.15,6.15
134,Alabama,2005,4.0,2.15,6.15
135,Alabama,2005,4.0,2.15,6.15
136,Alabama,2005,0.0,2.15,0.0
137,Alabama,2005,4.0,2.15,6.15
138,Alabama,2005,4.0,2.15,6.15
139,Alabama,2005,4.0,2.15,6.15
140,Alabama,2005,0.0,2.15,0.0
141,Alabama,2005,4.0,2.15,6.15
142,Alabama,2005,0.0,2.15,0.0
143,Alabama,2005,0.0,2.15,0.0
144,Alabama,2005,0.0,2.15,0.0
145,Alabama,2005,0.0,2.15,0.0
146,Alabama,2005,0.0,2.15,0.0
147,Alabama,2005,0.0,2.15,0.0
148,Alabama,2005,0.0,2.15,0.0
149,Alabama,2005,0.0,2.15,0.0
150,Alabama,2005,0.0,2.15,0.0
151,Alabama,2005,4.0,2.15,6.15
152,Alabama,2005,4.0,2.15,6.15
153,Alabama,2005,1.5,2.15,3.65
154,Alabama,2005,1.5,2.15,3.65
155,Alabama,2005,4.0,2.15,6.15
156,Alabama,2005,1.5,2.15,3.65
157,Alabama,2005,1.5,2.15,3.65
158,Alabama,2005,0.0,2.15,0.0
159,Alabama,2005,1.5,2.15,3.65
160,Alabama,2005,1.5,2.15,3.65
161,Alabama,2005,0.0,2.15,0.0
162,Alabama,2005,4.0,2.15,6.15
163,Alabama,2005,4.0,2.15,6.15
164,Alabama,2005,4.0,2.15,6.15
165,Alabama,2005,4.0,2.15,6.15
166,Alabama,2005,0.0,2.15,0.0
167,Alabama,2005,0.0,2.15,0.0
168,Alabama,2005,0.0,2.15,0.0
169,Alabama,2005,0.0,2.15,0.0
170,Alabama,2005,0.0,2.15,0.0
171,Alabama,2005,0.0,2.15,0.0
172,Alabama,2005,0.0,2.15,0.0
173,Alabama,2005,0.0,2.15,0.0
174,Alabama,2005,0.0,2.15,0.0
175,Alabama,2005,0.0,2.15,0.0
176,Alabama,2005,0.0,2.15,0.0
177,Alabama,2005,0.0,2.15,0.0
178,Alabama,2005,0.0,2.15,0.0
179,Alabama,2005,0.0,2.15,0.0
180,Alabama,2005,0.0,2.15,0.0
181,Alabama,2005,0.0,2.15,0.0
182,Alabama,2005,0.0,2.15,0.0
183,Alabama,2005,0.0,2.15,0.0
0,Alaska,2005,0.0,1.13,0.0
1,Alaska,2005,0.0,1.13,0.0
2,Alaska,2005,0.0,1.13,0.0
3,Alaska,2005,0.0,1.13,0.0
4,Alaska,2005,0.0,1.13,0.0
5,Alaska,2005,0.0,1.13,0.0
6,Alaska,2005,0.0,1.13,0.0
7,Alaska,2005,0.0,1.13,0.0
8,Alaska,2005,0.0,1.13,0.0
9,Alaska,2005,0.0,1.13,0.0
10,Alaska,2005,0.0,1.13,0.0
11,Alaska,2005,0.0,1.13,0.0
12,Alaska,2005,0.0,1.13,0.0
13,Alaska,2005,0.0,1.13,0.0
14,Alaska,2005,0.0,1.13,0.0
15,Alaska,2005,0.0,1.13,0.0
16,Alaska,2005,0.0,1.13,0.0
17,Alaska,2005,0.0,1.13,0.0
18,Alaska,2005,0.0,1.13,0.0
19,Alaska,2005,0.0,1.13,0.0
20,Alaska,2005,0.0,1.13,0.0
21,Alaska,2005,0.0,1.13,0.0
22,Alaska,2005,0.0,1.13,0.0
23,Alaska,2005,0.0,1.13,0.0
24,Alaska,2005,0.0,1.13,0.0
25,Alaska,2005,0.0,1.13,0.0
26,Alaska,2005,0.0,1.13,0.0
27,Alaska,2005,0.0,1.13,0.0
28,Alaska,2005,0.0,1.13,0.0
29,Alaska,2005,0.0,1.13,0.0
30,Alaska,2005,0.0,1.13,0.0
31,Alaska,2005,0.0,1.13,0.0
32,Alaska,2005,0.0,1.13,0.0
33,Alaska,2005,0.0,1.13,0.0
34,Alaska,2005,0.0,1.13,0.0
35,Alaska,2005,0.0,1.13,0.0
36,Alaska,2005,0.0,1.13,0.0
37,Alaska,2005,0.0,1.13,0.0
38,Alaska,2005,0.0,1.13,0.0
39,Alaska,2005,0.0,1.13,0.0
40,Alaska,2005,0.0,1.13,0.0
41,Alaska,2005,0.0,1.13,0.0
42,Alaska,2005,0.0,1.13,0.0
43,Alaska,2005,0.0,1.13,0.0
44,Alaska,2005,0.0,1.13,0.0
45,Alaska,2005,0.0,1.13,0.0
46,Alaska,2005,0.0,1.13,0.0
47,Alaska,2005,0.0,1.13,0.0
48,Alaska,2005,0.0,1.13,0.0
49,Alaska,2005,0.0,1.13,0.0
50,Alaska,2005,0.0,1.13,0.0
51,Alaska,2005,0.0,1.13,0.0
52,Alaska,2005,0.0,1.13,0.0
53,Alaska,2005,0.0,1.13,0.0
54,Alaska,2005,0.0,1.13,0.0
55,Alaska,2005,0.0,1.13,0.0
56,Alaska,2005,0.0,1.13,0.0
57,Alaska,2005,0.0,1.13,0.0
58,Alaska,2005,0.0,1.13,0.0
59,Alaska,2005,0.0,1.13,0.0
60,Alaska,2005,0.0,1.13,0.0
61,Alaska,2005,0.0,1.13,0.0
62,Alaska,2005,0.0,1.13,0.0
63,Alaska,2005,0.0,1.13,0.0
64,Alaska,2005,0.0,1.13,0.0
65,Alaska,2005,0.0,1.13,0.0
66,Alaska,2005,0.0,1.13,0.0
67,Alaska,2005,0.0,1.13,0.0
68,Alaska,2005,0.0,1.13,0.0
69,Alaska,2005,0.0,1.13,0.0
70,Alaska,2005,0.0,1.13,0.0
71,Alaska,2005,0.0,1.13,0.0
72,Alaska,2005,0.0,1.13,0.0
73,Alaska,2005,0.0,1.13,0.0
74,Alaska,2005,0.0,1.13,0.0
75,Alaska,2005,0.0,1.13,0.0
76,Alaska,2005,0.0,1.13,0.0
77,Alaska,2005,0.0,1.13,0.0
78,Alaska,2005,0.0,1.13,0.0
79,Alaska,2005,0.0,1.13,0.0
80,Alaska,2005,0.0,1.13,0.0
81,Alaska,2005,0.0,1.13,0.0
82,Alaska,2005,0.0,1.13,0.0
83,Alaska,2005,0.0,1.13,0.0
84,Alaska,2005,0.0,1.13,0.0
85,Alaska,2005,0.0,1.13,0.0
86,Alaska,2005,0.0,1.13,0.0
87,Alaska,2005,0.0,1.13,0.0
88,Alaska,2005,0.0,1.13,0.0
89,Alaska,2005,0.0,1.13,0.0
90,Alaska,2005,0.0,1.13,0.0
91,Alaska,2005,0.0,1.13,0.0
92,Alaska,2005,0.0,1.13,0.0
93,Alaska,2005,0.0,1.13,0.0
94,Alaska,2005,0.0,1.13,0.0
95,Alaska,2005,0.0,1.13,0.0
96,Alaska,2005,0.0,1.13,0.0
97,Alaska,2005,0.0,1.13,0.0
98,Alaska,2005,0.0,1.13,0.0
99,Alaska,2005,0.0,1.13,0.0
100,Alaska,2005,0.0,1.13,0.0
101,Alaska,2005,0.0,1.13,0.0
102,Alaska,2005,0.0,1.13,0.0
103,Alaska,2005,0.0,1.13,0.0
104,Alaska,2005,0.0,1.13,0.0
105,Alaska,2005,0.0,1.13,0.0
106,Alaska,2005,0.0,1.13,0.0
107,Alaska,2005,0.0,1.13,0.0
108,Alaska,2005,0.0,1.13,0.0
109,Alaska,2005,0.0,1.13,0.0
110,Alaska,2005,0.0,1.13,0.0
111,Alaska,2005,0.0,1.13,0.0
112,Alaska,2005,0.0,1.13,0.0
113,Alaska,2005,0.0,1.13,0.0
114,Alaska,2005,0.0,1.13,0.0
115,Alaska,2005,0.0,1.13,0.0
116,Alaska,2005,0.0,1.13,0.0
117,Alaska,2005,0.0,1.13,0.0
118,Alaska,2005,0.0,1.13,0.0
119,Alaska,2005,0.0,1.13,0.0
120,Alaska,2005,0.0,1.13,0.0
121,Alaska,2005,0.0,1.13,0.0
122,Alaska,2005,0.0,1.13,0.0
123,Alaska,2005,0.0,1.13,0.0
124,Alaska,2005,0.0,1.13,0.0
125,Alaska,2005,0.0,1.13,0.0
126,Alaska,2005,0.0,1.13,0.0
127,Alaska,2005,0.0,1.13,0.0
128,Alaska,2005,0.0,1.13,0.0
129,Alaska,2005,0.0,1.13,0.0
130,Alaska,2005,0.0,1.13,0.0
131,Alaska,2005,0.0,1.13,0.0
132,Alaska,2005,0.0,1.13,0.0
133,Alaska,2005,0.0,1.13,0.0
134,Alaska,2005,0.0,1.13,0.0
135,Alaska,2005,0.0,1.13,0.0
136,Alaska,2005,0.0,1.13,0.0
137,Alaska,2005,0.0,1.13,0.0
138,Alaska,2005,0.0,1.13,0.0
139,Alaska,2005,0.0,1.13,0.0
140,Alaska,2005,0.0,1.13,0.0
141,Alaska,2005,0.0,1.13,0.0
142,Alaska,2005,0.0,1.13,0.0
143,Alaska,2005,0.0,1.13,0.0
144,Alaska,2005,0.0,1.13,0.0
145,Alaska,2005,0.0,1.13,0.0
146,Alaska,2005,0.0,1.13,0.0
147,Alaska,2005,0.0,1.13,0.0
148,Alaska,2005,0.0,1.13,0.0
149,Alaska,2005,0.0,1.13,0.0
150,Alaska,2005,0.0,1.13,0.0
151,Alaska,2005,0.0,1.13,0.0
152,Alaska,2005,0.0,1.13,0.0
153,Alaska,2005,0.0,1.13,0.0
154,Alaska,2005,0.0,1.13,0.0
155,Alaska,2005,0.0,1.13,0.0
156,Alaska,2005,0.0,1.13,0.0
157,Alaska,2005,0.0,1.13,0.0
158,Alaska,2005,0.0,1.13,0.0
159,Alaska,2005,0.0,1.13,0.0
160,Alaska,2005,0.0,1.13,0.0
161,Alaska,2005,0.0,1.13,0.0
162,Alaska,2005,1.0,1.13,2.13
163,Alaska,2005,0.0,1.13,0.0
164,Alaska,2005,0.0,1.13,0.0
165,Alaska,2005,0.0,1.13,0.0
166,Alaska,2005,0.0,1.13,0.0
167,Alaska,2005,0.0,1.13,0.0
168,Alaska,2005,0.0,1.13,0.0
169,Alaska,2005,0.0,1.13,0.0
170,Alaska,2005,0.0,1.13,0.0
171,Alaska,2005,0.0,1.13,0.0
172,Alaska,2005,0.0,1.13,0.0
173,Alaska,2005,0.0,1.13,0.0
174,Alaska,2005,0.0,1.13,0.0
175,Alaska,2005,0.0,1.13,0.0
176,Alaska,2005,0.0,1.13,0.0
177,Alaska,2005,0.0,1.13,0.0
178,Alaska,2005,0.0,1.13,0.0
179,Alaska,2005,0.0,1.13,0.0
180,Alaska,2005,0.0,1.13,0.0
181,Alaska,2005,0.0,1.13,0.0
182,Alaska,2005,0.0,1.13,0.0
183,Alaska,2005,0.0,1.13,0.0
0,Arkansas,2005,6.0,1.79,7.79
1,Arkansas,2005,0.0,1.79,0.0
2,Arkansas,2005,0.0,1.79,0.0
3,Arkansas,2005,0.0,1.79,0.0
4,Arkansas,2005,6.0,1.79,7.79
5,Arkansas,2005,6.0,1.79,7.79
6,Arkansas,2005,0.0,1.79,0.0
7,Arkansas,2005,0.0,1.79,0.0
8,Arkansas,2005,0.0,1.79,0.0
9,Arkansas,2005,0.0,1.79,0.0
10,Arkansas,2005,0.0,1.79,0.0
11,Arkansas,2005,0.0,1.79,0.0
12,Arkansas,2005,0.0,1.79,0.0
13,Arkansas,2005,0.0,1.79,0.0
14,Arkansas,2005,0.0,1.79,0.0
15,Arkansas,2005,0.0,1.79,0.0
16,Arkansas,2005,0.0,1.79,0.0
17,Arkansas,2005,0.0,1.79,0.0
18,Arkansas,2005,0.0,1.79,0.0
19,Arkansas,2005,6.0,1.79,7.79
20,Arkansas,2005,0.0,1.79,0.0
21,Arkansas,2005,6.0,1.79,7.79
22,Arkansas,2005,0.0,1.79,0.0
23,Arkansas,2005,6.0,1.79,7.79
24,Arkansas,2005,0.0,1.79,0.0
25,Arkansas,2005,6.0,1.79,7.79
26,Arkansas,2005,0.0,1.79,0.0
27,Arkansas,2005,0.0,1.79,0.0
28,Arkansas,2005,0.0,1.79,0.0
29,Arkansas,2005,6.0,1.79,7.79
30,Arkansas,2005,6.0,1.79,7.79
31,Arkansas,2005,6.0,1.79,7.79
32,Arkansas,2005,6.0,1.79,7.79
33,Arkansas,2005,6.0,1.79,7.79
34,Arkansas,2005,6.0,1.79,7.79
35,Arkansas,2005,6.0,1.79,7.79
36,Arkansas,2005,6.0,1.79,7.79
37,Arkansas,2005,6.0,1.79,7.79
38,Arkansas,2005,6.0,1.79,7.79
39,Arkansas,2005,6.0,1.79,7.79
40,Arkansas,2005,6.0,1.79,7.79
41,Arkansas,2005,6.0,1.79,7.79
42,Arkansas,2005,6.0,1.79,7.79
43,Arkansas,2005,6.0,1.79,7.79
44,Arkansas,2005,6.0,1.79,7.79
45,Arkansas,2005,0.0,1.79,0.0
46,Arkansas,2005,0.0,1.79,0.0
47,Arkansas,2005,0.0,1.79,0.0
48,Arkansas,2005,0.0,1.79,0.0
49,Arkansas,2005,0.0,1.79,0.0
50,Arkansas,2005,0.0,1.79,0.0
51,Arkansas,2005,0.0,1.79,0.0
52,Arkansas,2005,0.0,1.79,0.0
